run_order,candidate,worst_max_dq,Ammonite_max_dq,closest_sep,status
1,0,0.013234,0.013234,73.07,success
2,1,0.025628,0.008473,23.29,success
3,2,0.040286,0.040286,30.48,success
4,3,0.0061,0.0061,48.3,success
5,4,0.015486,0.009795,39.71,success
6,5,0.02702,0.012387,33.6,success
7,6,0.011008,0.011008,36.05,success
8,7,0.01471,0.006029,44.0,success
9,8,0.027754,0.027754,22.4,success
10,9,0.012786,0.012017,25.17,success
11,10,0.040308,0.040308,98.61,success
12,11,0.022262,0.022262,51.94,success
13,12,0.017412,0.005747,86.41,success
14,13,0.042173,0.042173,13.23,success
15,14,0.047923,0.039545,8.33,success
16,15,0.0169,0.010725,21.15,success
17,16,0.012807,0.012807,34.76,success
18,17,0.01212,0.008089,18.81,success
19,18,0.071731,0.071731,12.77,success
20,19,0.027461,0.015705,59.32,success
21,20,0.011771,0.010571,98.14,success
22,21,0.009132,0.009132,90.74,success
23,22,0.010976,0.005346,41.01,success
24,23,0.009767,0.009767,40.85,success
25,24,0.019812,0.012944,20.63,success
26,25,0.026621,0.017938,82.05,success
27,26,0.039585,0.009294,16.53,success
28,27,0.044009,0.044009,48.85,success
29,28,0.01042,0.008343,30.59,success
30,29,0.011218,0.003638,86.23,success
31,30,0.020549,0.00704,45.12,success
32,31,0.032839,0.032839,28.02,success
33,32,0.02658,0.02658,13.92,success
34,33,0.015394,0.015394,76.85,success
35,34,0.009623,0.009623,30.89,success
36,35,0.048569,0.011862,29.79,success
37,36,0.019298,0.004782,30.75,success
38,37,0.003204,0.001418,72.39,success
39,38,0.031976,0.019792,50.41,success
40,39,0.027872,0.027872,39.2,success
41,40,0.0225,0.004679,43.03,success
42,41,0.011896,0.00647,55.0,success
43,42,0.052179,0.052179,21.52,success
44,43,0.03168,0.011019,28.78,success
45,44,0.027053,0.00562,19.31,success
46,45,0.018118,0.018118,28.37,success
47,46,0.017811,0.005161,61.53,success
48,47,0.013988,0.004278,75.35,success
49,48,0.036358,0.036358,42.57,success
50,49,0.033498,0.010334,22.26,success
51,50,0.038283,0.029211,33.2,success
52,51,0.079914,0.079914,51.84,success
53,52,0.005456,0.004237,59.05,success
54,53,0.042898,0.042898,9.81,success
55,54,0.004039,0.002831,66.95,success
56,55,0.050513,0.033887,50.65,success
57,56,0.033529,0.033529,41.12,success
58,57,0.02511,0.016771,55.05,success
59,58,0.017197,0.017197,22.52,success
60,59,0.054142,0.054142,82.38,success
61,60,0.053815,0.053815,55.08,success
62,61,0.010157,0.010157,24.09,success
63,62,0.021997,0.016824,69.45,success
64,63,0.030682,0.011965,54.38,success
65,64,0.017285,0.017285,54.53,success
66,65,0.075493,0.075493,61.34,success
67,66,0.1387,0.033512,59.31,success
68,67,0.029542,0.018413,10.92,success
69,68,0.045189,0.045189,64.43,success
70,69,0.036121,0.011383,14.3,success
71,70,0.020673,0.020673,40.68,success
72,71,0.035795,0.007364,82.18,success
73,72,0.005457,0.005457,29.67,success
74,73,0.006977,0.005609,38.41,success
75,74,0.033333,0.018061,38.48,success
76,75,0.021514,0.021514,49.49,success
77,76,0.056032,0.056032,26.15,success
78,77,0.059466,0.021612,27.13,success
79,78,0.032842,0.014507,28.27,success
80,79,0.029935,0.017967,21.4,success
81,80,0.008882,0.00611,12.89,success
82,81,0.006277,0.006277,44.4,success
83,82,0.008361,0.004761,53.52,success
84,83,0.015591,0.004084,29.02,success
85,84,0.039711,0.018261,68.59,success
86,85,0.022227,0.022227,32.68,success
87,86,0.00934,0.00934,16.78,success
88,87,0.013467,0.013467,47.24,success
89,88,0.007514,0.007514,27.5,success
90,89,0.027498,0.007225,39.43,success
